Week Ending,Provider State,Residents Weekly Confirmed COVID-19,Residents Weekly All Deaths,Residents Weekly COVID-19 Deaths,Total Number of Occupied Beds
2020-05-24,AK,1.0,17.0,0.0,686.0
2020-05-24,AL,1038.0,1224.0,230.0,20436.0
2020-05-24,AR,320.0,754.0,44.0,15571.0
2020-05-24,AZ,302.0,534.0,95.0,10028.0
2020-05-24,CA,5869.0,4555.0,1231.0,87701.0
2020-05-24,CO,887.0,1000.0,336.0,14519.0
2020-05-24,CT,5595.0,2372.0,1509.0,17762.0
2020-05-24,DC,285.0,136.0,67.0,1385.0
2020-05-24,DE,619.0,353.0,175.0,3326.0
2020-05-24,FL,1895.0,1895.0,467.0,59877.0
2020-05-24,GA,2717.0,1456.0,435.0,28732.0
2020-05-24,GU,0.0,0.0,0.0,9.0
2020-05-24,HI,1.0,102.0,0.0,3475.0
2020-05-24,IA,793.0,958.0,197.0,20926.0
2020-05-24,ID,57.0,101.0,13.0,3639.0
2020-05-24,IL,6338.0,3930.0,1581.0,56798.0
2020-05-24,IN,2313.0,1866.0,668.0,30729.0
2020-05-24,KS,210.0,480.0,53.0,15666.0
2020-05-24,KY,815.0,827.0,218.0,19773.0
2020-05-24,LA,2482.0,1603.0,736.0,22809.0
2020-05-24,MA,8901.0,4236.0,2691.0,30362.0
2020-05-24,MD,3307.0,1596.0,722.0,18835.0
2020-05-24,ME,135.0,282.0,18.0,5463.0
2020-05-24,MI,3008.0,2428.0,1016.0,30317.0
2020-05-24,MN,1114.0,1308.0,274.0,20434.0
2020-05-24,MO,1059.0,1312.0,266.0,33805.0
2020-05-24,MS,894.0,460.0,210.0,13418.0
2020-05-24,MT,5.0,145.0,2.0,3651.0
2020-05-24,NC,1066.0,1412.0,244.0,32977.0
2020-05-24,ND,109.0,386.0,28.0,4871.0
2020-05-24,NE,292.0,508.0,68.0,10139.0
2020-05-24,NH,504.0,463.0,117.0,5754.0
2020-05-24,NJ,10014.0,5784.0,3036.0,32211.0
2020-05-24,NM,257.0,281.0,78.0,4747.0
2020-05-24,NV,511.0,201.0,97.0,4933.0
2020-05-24,NY,8263.0,6970.0,3612.0,82295.0
2020-05-24,OH,2826.0,3284.0,817.0,60989.0
2020-05-24,OK,335.0,416.0,79.0,15014.0
2020-05-24,OR,98.0,233.0,24.0,6300.0
2020-05-24,PA,8287.0,7279.0,2384.0,65220.0
2020-05-24,PR,0.0,0.0,0.0,37.0
2020-05-24,RI,1406.0,601.0,359.0,6269.0
2020-05-24,SC,865.0,993.0,160.0,15375.0
2020-05-24,SD,17.0,185.0,21.0,5223.0
2020-05-24,TN,374.0,1666.0,87.0,24371.0
2020-05-24,TX,1966.0,2423.0,313.0,78040.0
2020-05-24,UT,70.0,62.0,9.0,4824.0
2020-05-24,VA,1397.0,1066.0,298.0,24306.0
2020-05-24,VT,96.0,199.0,31.0,2183.0
2020-05-24,WA,750.0,600.0,202.0,12994.0
2020-05-24,WI,562.0,1047.0,82.0,19663.0
2020-05-24,WV,222.0,643.0,39.0,8575.0
2020-05-24,WY,10.0,77.0,2.0,2079.0
2020-05-31,AK,9.0,0.0,0.0,671.0
2020-05-31,AL,162.0,110.0,31.0,20601.0
2020-05-31,AR,34.0,73.0,9.0,15748.0
2020-05-31,AZ,106.0,70.0,21.0,10027.0
2020-05-31,CA,937.0,830.0,269.0,88516.0
2020-05-31,CO,162.0,94.0,23.0,14593.0
2020-05-31,CT,441.0,272.0,145.0,17646.0
2020-05-31,DC,77.0,15.0,3.0,1430.0
